Designator,Mid X,Mid Y,Rotation,Layer
C1,115.0,-71.0,180.0,top
C10,141.0,-40.0,180.0,top
C11,106.956527,-55.431941,180.0,bottom
C12,104.25,-44.0,0.0,top
C13,109.703791,-110.954519,0.0,bottom
C15,106.0,-107.0,180.0,bottom
C16,121.0,-110.0,90.0,bottom
C17,97.75,-119.0,0.0,top
C2,101.0,-66.0,270.0,top
C3,111.05,-66.0,180.0,top
C4,110.555061,-92.840244,0.0,bottom
C5,110.526032,-90.272642,0.0,bottom
C6,94.0,-97.0,0.0,top
C7,144.0,-137.0,180.0,top
C8,138.25,-36.0,180.0,top
C9,144.75,-36.0,0.0,top
D1,125.0,-65.0,0.0,top
D2,125.0,-68.0,0.0,top
D3,95.0,-46.0,0.0,bottom
J1,147.0,-150.22,180.0,top
J10,121.65,-35.73,90.0,bottom
J11,99.0,-107.4,0.0,top
J2,132.0,-150.3,180.0,top
J3,115.0,-150.22,180.0,top
J4,98.0,-150.22,180.0,top
J5,98.0,-130.88,0.0,top
J6,115.0,-130.78,0.0,top
J7,148.0,-110.78,0.0,top
J8,131.021069,-130.78,0.0,top
J9,147.994141,-130.810205,0.0,top
R1,102.95,-79.0,90.0,top
R10,125.0,-71.0,180.0,top
R11,125.671959,-62.139509,0.0,top
R12,124.0,-76.0875,90.0,top
R13,136.482041,-78.98998,0.0,top
R14,104.522584,-118.189999,90.0,top
R15,129.0,-94.0,90.0,top
R16,127.0,-94.0,90.0,top
R17,131.0,-94.0,270.0,top
R18,146.07939,-91.024201,180.0,top
R19,146.07939,-93.018343,180.0,top
R2,107.0,-79.0,90.0,top
R20,146.085462,-95.0,180.0,top
R21,146.085462,-97.0,180.0,top
R22,146.07939,-98.990749,0.0,top
R23,146.0875,-87.0,180.0,top
R24,146.0875,-89.0,180.0,top
R25,146.0,-81.0,180.0,top
R26,146.0,-83.0,180.0,top
R27,146.0,-85.0,0.0,top
R28,117.0,-66.0,0.0,top
R29,108.522584,-118.189999,90.0,top
R3,111.0,-79.0,270.0,top
R30,102.0,-143.0,180.0,top
R31,118.0,-143.0,180.0,top
R32,128.0,-143.0,0.0,top
R33,146.0,-142.0,0.0,top
R34,144.0,-117.0,180.0,top
R35,140.0,-109.0,0.0,top
R36,140.0,-104.0,180.0,top
R37,140.0,-137.0,180.0,top
R38,119.0,-79.19,270.0,top
R39,102.0,-116.0,90.0,bottom
R4,105.0,-66.0,90.0,top
R40,111.95,-116.0,0.0,bottom
R41,95.682174,-112.991431,180.0,bottom
R5,103.0,-66.0,90.0,top
R6,114.948204,-78.994532,90.0,top
R7,117.0,-63.0,180.0,top
R8,117.0,-60.05,0.0,top
R9,137.0,-60.0,180.0,top
RV1,95.46,-83.0,0.0,top
RV2,95.46,-75.0,0.0,top
RV3,117.5,-51.89,90.0,top
RV4,137.8,-51.89,90.0,top
RV5,147.46,-68.0,0.0,top
RV6,147.46,-74.0,0.0,top
RV7,131.0,-111.615,90.0,top
S1,97.0,-91.0,90.0,top
T1,127.375,-75.8625,270.0,top
T2,133.0,-75.802316,270.0,top
U1,116.0,-91.0,90.0,top
U2,139.0,-90.0,0.0,top
U3,98.0,-53.0,0.0,bottom
U4,103.0,-36.0,270.0,bottom
U5,116.0,-110.0,180.0,bottom
U6,109.0,-102.0,0.0,bottom
